filename,stage,xmin,xmax,ymin,ymax
1307210661-0007-R,R,1154,1233,496,566
1307210661-0007-R,R,1185,1246,99,176
1307210661-0007-R,R,1292,1344,823,869
1307210661-0007-R,R,1348,1406,834,894
1307210661-0007-R,R,1380,1465,1101,1161
1307210661-0007-R,R,1510,1557,1082,1164
1307210661-0007-R,R,1552,1599,1359,1423
1307210661-0007-R,R,1650,1705,804,893
1307210661-0007-R,R,1709,1787,1754,1795
1307210661-0007-R,R,1839,1900,1233,1313
1307210661-0007-R,R,1848,1908,472,527
1307210661-0007-R,R,1927,1989,1609,1676
1307210661-0007-R,R,1968,2037,789,855
1307210661-0007-R,R,2043,2106,888,952
1307210661-0007-R,R,2258,2319,374,442
1307210661-0007-R,R,2266,2345,1814,1899
1307210661-0007-R,R,2292,2352,618,680
1307210661-0007-R,R,2318,2377,250,325
1307210661-0008-R,R,393,450,1493,1559
1307210661-0008-R,R,417,481,1473,1516
1307210661-0008-R,R,427,488,444,503
1307210661-0008-R,R,440,502,1028,1079
1307210661-0008-R,R,702,754,942,990
1307210661-0008-R,R,709,785,1008,1054
1307210661-0008-R,R,726,799,1485,1555
1307210661-0008-R,R,875,928,734,793
1307210661-0008-R,R,899,947,390,468
1307210661-0008-R,R,972,1137,1417,1551
1307210661-0008-R,R,1023,1086,1042,1106
1307210661-0008-R,R,1028,1112,678,733
1307210661-0008-R,R,1144,1206,739,803
1307210661-0008-R,R,1171,1249,481,557
1307210661-0008-R,R,1183,1247,1355,1421
1307210661-0008-R,R,1284,1350,1187,1246
1307210661-0008-R,R,1387,1443,1526,1570
1307210661-0008-R,R,1413,1472,1455,1501
1307210661-0008-R,R,1444,1508,1521,1583
1307210661-0008-R,R,1500,1557,397,451
1307210661-0008-R,R,1512,1572,1130,1196
1307210661-0008-R,R,1567,1624,1278,1330
1307210661-0008-R,R,1588,1642,98,153
1307210661-0008-R,R,1602,1656,1130,1189
1307210661-0008-R,R,1606,1658,1695,1779
1307210661-0008-R,R,1680,1733,865,931
1307210661-0008-R,R,1710,1772,295,357
1307210661-0008-R,R,1714,1781,357,413
1307210661-0008-R,R,1753,1828,1547,1612
1307210661-0008-R,R,1845,1920,666,720
1307210661-0008-R,R,2059,2164,1683,1752
1307210661-0008-R,R,2339,2407,839,901
1307210661-0009-R,R,485,540,230,307
1307210661-0009-R,R,535,598,1623,1696
1307210661-0009-R,R,1120,1184,130,186
1307210661-0009-R,R,1121,1173,1449,1514
1307210661-0009-R,R,1149,1204,211,264
1307210661-0009-R,R,1266,1325,1866,1924
1307210661-0009-R,R,1461,1526,250,317
1307210661-0009-R,R,1905,1974,380,449
1307210661-0009-R,R,2208,2264,1001,1067
1307210661-0009-R,R,2269,2341,1345,1424
1307210661-0009-R,R,2328,2404,1768,1839
1307210661-0010-R,R,54,118,952,999
1307210661-0010-R,R,106,153,688,774
1307210661-0010-R,R,159,209,1439,1520
1307210661-0010-R,R,172,223,1509,1557
1307210661-0010-R,R,175,233,264,316
1307210661-0010-R,R,503,549,1027,1080
1307210661-0010-R,R,568,620,1170,1228
1307210661-0010-R,R,615,673,1485,1576
1307210661-0010-R,R,623,681,561,616
1307210661-0010-R,R,692,811,1326,1376
1307210661-0010-R,R,694,756,1221,1276
1307210661-0010-R,R,738,806,1572,1620
1307210661-0010-R,R,910,994,1483,1543
1307210661-0010-R,R,945,1006,942,1013
1307210661-0010-R,R,981,1056,678,732
1307210661-0010-R,R,1011,1099,602,657
1307210661-0010-R,R,1114,1193,730,792
1307210661-0010-R,R,1139,1217,830,892
1307210661-0010-R,R,1364,1431,785,848
1307210661-0010-R,R,1391,1452,1327,1382
1307210661-0010-R,R,1428,1486,253,321
1307210661-0010-R,R,1459,1527,1288,1368
1307210661-0010-R,R,1494,1547,1406,1465
1307210661-0010-R,R,1527,1590,1303,1367
1307210661-0010-R,R,1604,1657,1293,1342
1307210661-0010-R,R,1622,1685,176,254
1307210661-0010-R,R,1625,1703,915,975
1307210661-0010-R,R,1664,1722,1273,1323
1307210661-0010-R,R,1827,1908,1789,1871
1307210661-0010-R,R,1840,1910,497,557
1307210661-0010-R,R,1850,1906,157,210
1307210661-0010-R,R,1953,2008,1484,1549
1307210661-0010-R,R,2007,2063,1346,1410
1307210661-0010-R,R,2013,2086,785,842
1307210661-0010-R,R,2045,2118,1794,1844
1307210661-0010-R,R,2090,2136,1195,1253
1307210661-0010-R,R,2170,2221,242,303
1307210661-0010-R,R,2263,2338,1514,1584
1307210661-0010-R,R,2317,2360,621,670
1307210661-0010-R,R,2330,2388,922,982
1307210661-0010-R,R,2353,2414,618,677
1307210661-0010-R,R,2400,2460,1687,1741
1405022890-0001-R,R,697,764,120,179
1405022890-0001-R,R,890,969,1167,1242
1405022890-0001-R,R,1004,1083,946,1028
1405022890-0001-R,R,1051,1118,977,1048
1405022890-0001-R,R,1064,1145,620,688
1405022890-0001-R,R,1159,1220,1088,1160
1405022890-0001-R,R,1360,1420,739,814
1405022890-0001-R,R,1527,1624,638,730
1405022890-0001-R,R,1779,1847,954,1008
1405022890-0001-R,R,1833,1896,407,466
1405022890-0001-R,R,1849,1966,833,910
1405022890-0001-R,R,2296,2371,1513,1573
1405022890-0001-R,R,2393,2483,566,647
1405022890-0002-R,R,49,127,835,922
1405022890-0002-R,R,253,338,1063,1150
1405022890-0002-R,R,668,748,1860,1915
1405022890-0002-R,R,677,748,1777,1841
1405022890-0002-R,R,755,824,1263,1359
1405022890-0002-R,R,899,970,1214,1289
1405022890-0002-R,R,922,1033,266,352
1405022890-0002-R,R,924,990,558,650
1405022890-0002-R,R,1053,1133,87,152
1405022890-0002-R,R,1059,1121,148,204
1405022890-0002-R,R,1127,1206,830,929
1405022890-0002-R,R,1192,1258,1071,1138
1405022890-0002-R,R,1299,1379,1321,1409
1405022890-0002-R,R,1504,1592,1239,1319
1405022890-0002-R,R,1614,1706,1332,1408
1405022890-0002-R,R,2027,2120,73,189
1405022890-0002-R,R,2257,2356,1157,1236
1405022890-0002-R,R,2411,2490,1787,1852
1405022890-0003-R,R,29,94,319,416
1405022890-0003-R,R,47,116,1495,1563
1405022890-0003-R,R,240,306,205,269
1405022890-0003-R,R,252,316,724,805
1405022890-0003-R,R,289,352,773,855
1405022890-0003-R,R,449,521,227,300
1405022890-0003-R,R,751,820,842,911
1405022890-0003-R,R,913,988,485,565
1405022890-0003-R,R,916,996,1412,1481
1405022890-0003-R,R,968,1028,1675,1735
1405022890-0003-R,R,1079,1144,963,1020
1405022890-0003-R,R,1125,1183,1570,1645
1405022890-0003-R,R,1185,1253,1407,1473
1405022890-0003-R,R,1355,1442,521,612
1405022890-0003-R,R,1449,1532,385,460
1405022890-0003-R,R,1758,1833,640,712
1405022890-0003-R,R,1790,1887,716,780
1405022890-0003-R,R,1825,1891,638,702
1405022890-0003-R,R,1868,1960,235,318
1405022890-0003-R,R,1897,1971,1101,1206
1405022890-0003-R,R,1972,2065,66,160
1405022890-0003-R,R,2080,2157,1145,1236
1405022890-0003-R,R,2212,2293,638,707
1405022890-0003-R,R,2478,2545,364,434
1405022890-0004-R,R,55,155,649,743
1405022890-0004-R,R,557,638,1219,1296
1405022890-0004-R,R,817,885,1355,1439
1405022890-0004-R,R,914,1020,1300,1407
1405022890-0004-R,R,935,998,1429,1500
1405022890-0004-R,R,994,1082,1678,1772
1405022890-0004-R,R,1006,1077,1433,1532
1405022890-0004-R,R,1124,1215,382,464
1405022890-0004-R,R,1384,1485,182,272
1405022890-0004-R,R,1429,1514,481,552
1405022890-0004-R,R,1496,1577,556,626
1405022890-0004-R,R,1510,1614,1736,1830
1405022890-0004-R,R,1690,1749,700,774
1405022890-0004-R,R,1790,1881,1271,1370
1405022890-0004-R,R,1835,1932,1810,1896
1405022890-0004-R,R,1846,1949,229,321
1405022890-0004-R,R,1850,1934,398,501
1405022890-0004-R,R,1865,1982,1000,1112
1405022890-0004-R,R,2399,2493,95,207
1405022890-0005-R,R,447,528,1577,1646
1405022890-0005-R,R,557,649,1193,1263
1405022890-0005-R,R,692,769,505,605
1405022890-0005-R,R,807,882,672,761
1405022890-0005-R,R,821,900,1788,1870
1405022890-0005-R,R,1573,1656,837,908
1405022890-0005-R,R,1584,1691,408,492
1405022890-0005-R,R,1755,1842,452,529
1405022890-0005-R,R,1965,2080,1447,1522
1405022890-0005-R,R,2017,2107,19,97
1405022890-0005-R,R,2053,2112,242,299
1405022890-0005-R,R,2121,2180,281,354
1405022890-0005-R,R,2156,2231,1275,1340
1405022890-0005-R,R,2241,2323,1407,1482
1405022890-0005-R,R,2258,2332,1052,1121
1405022890-0005-R,R,2260,2339,1599,1679
1405022890-0005-R,R,2458,2530,884,962
1405022890-0006-R,R,173,239,428,497
1405022890-0006-R,R,236,321,400,486
1405022890-0006-R,R,409,483,421,500
1405022890-0006-R,R,509,588,1583,1657
1405022890-0006-R,R,620,686,791,901
1405022890-0006-R,R,737,804,574,660
1405022890-0006-R,R,800,858,1128,1195
1405022890-0006-R,R,827,912,50,147
1405022890-0006-R,R,1073,1129,459,542
1405022890-0006-R,R,1223,1302,641,750
1405022890-0006-R,R,1239,1322,1373,1458
1405022890-0006-R,R,1603,1667,569,651
1405022890-0006-R,R,1697,1761,1691,1760
1405022890-0006-R,R,1866,1939,877,934
1405022890-0006-R,R,1885,1956,927,978
1405022890-0006-R,R,2017,2104,1724,1800
1405022890-0006-R,R,2210,2296,1608,1682
1405022890-0006-R,R,2279,2349,185,257
1405022890-0006-R,R,2449,2514,291,352
1408161544-0001-S_R,S_R,1010,1196,579,741
1408161544-0001-S_R,S_R,1477,1546,1720,1798
1408161544-0002-R_S,R_S,1153,1223,1273,1374
1408161544-0002-R_S,R_S,1219,1378,641,796
1408161544-0002-R_S,R_S,1499,1586,1139,1236
1408161544-0003-R_S,R_S,663,735,9,72
1408161544-0003-R_S,R_S,1031,1178,678,823
1408290968-0001-R,R,1285,1368,905,987
1408290968-0002-R,R,1328,1406,893,992
1408290968-0003-R,R,1169,1268,691,826
1409171742-0001-R,R,464,563,987,1069
1409171742-0001-R,R,1391,1467,1328,1430
1409171742-0002-R,R,1159,1250,259,328
1409171742-0002-R,R,1207,1273,1715,1796
1409171742-0002-R,R,2199,2288,1187,1257
1409171742-0003-R,R,485,607,217,327
1409171742-0003-R,R,534,635,547,643
1409171742-0003-R,R,1326,1422,658,780
1409171742-0003-R,R,1477,1558,1396,1478
1409171742-0004-R,R,1004,1095,1634,1715
1409171742-0004-R,R,1376,1452,175,255
1409171742-0005-R,R,1156,1277,1307,1405
1409171742-0005-R,R,1214,1355,700,823
1409171742-0006-R,R,468,565,986,1080
1409171742-0006-R,R,1871,1943,797,888
1409171742-0006-R,R,2048,2147,852,966
1409171742-0007-R,R,179,267,800,886
1409171742-0007-R,R,551,649,1637,1732
1409171742-0007-R,R,1593,1688,817,893
1409171742-0007-R,R,1919,2007,1373,1470
1409171742-0008-R,R,653,759,1337,1436
1409171742-0008-R,R,748,867,437,524
1409171742-0008-R,R,1948,2057,1451,1542
1409171742-0008-R,R,2285,2400,1513,1610
1409171742-0009-R,R,352,455,521,633
1409171742-0009-R,R,353,486,91,212
1409171742-0009-R,R,364,456,691,800
1409171742-0009-R,R,1672,1749,1204,1329
1409171742-0009-R,R,2008,2121,1528,1619
1409171742-0009-R,R,2023,2087,793,870
1409171742-0010-R,R,623,708,1055,1146
1409171742-0010-R,R,761,867,957,1056
1409171742-0010-R,R,943,1034,957,1054
1409171742-0010-R,R,1295,1392,76,166
1409171742-0010-R,R,1605,1709,1416,1516
1409191647-0001-R,R,965,1037,645,721
1409191647-0002-R,R,1085,1188,715,801
1409191647-0003-R,R,734,804,1066,1142
1409191647-0003-R,R,1010,1085,1228,1311
1409191647-0003-R,R,1300,1398,850,926
1409191647-0003-R,R,1322,1409,719,818
1409191647-0004-R,R,808,876,644,722
1409191647-0004-R,R,1075,1157,944,1004
1409191647-0004-R,R,1274,1350,598,663
1409191647-0004-R,R,1598,1674,1025,1116
1409191647-0005-R,R,754,852,730,822
1409191647-0005-R,R,791,894,1058,1146
1409191647-0005-R,R,1504,1598,1151,1241
1409191647-0005-R,R,1879,2000,614,720
1409191647-0006-R,R,1154,1239,600,666
1409191647-0006-R,R,1181,1240,661,712
1409191647-0006-R,R,1382,1458,1804,1879
1409191647-0006-R,R,1517,1605,200,284
1409191647-0006-R,R,2221,2315,1559,1646
1409191647-0007-R,R,1215,1287,830,903
1409191647-0008-T,T,1088,1177,891,978
1409191647-0009-R,R,105,201,1148,1253
1409191647-0009-R,R,191,260,444,513
1409191647-0009-R,R,452,538,1098,1199
1409191647-0009-R,R,1180,1270,564,667
1409191647-0009-R,R,1230,1300,891,979
1409191647-0009-R,R,1233,1294,549,628
1409191647-0009-R,R,1938,2039,910,1021
1409191647-0010-R,R,50,144,436,504
1409191647-0010-R,R,434,555,701,780
1409191647-0010-R,R,1342,1422,1240,1317
1409191647-0010-R,R,1394,1485,662,755
1409191647-0010-R,R,1966,2042,389,492
1603223711-0001-G,G,1150,1373,918,993
1603223711-0002-T_G,T_G,1071,1106,476,518
1603223711-0002-T_G,T_G,1344,1535,1011,1117
1603223711-0003-G_R,G_R,1025,1215,1332,1448
1603223711-0003-G_R,G_R,1535,1579,558,605
1603223711-0004-R,R,885,944,1194,1251
1603223711-0004-R,R,2151,2199,802,847
1603223711-0005-G,G,1048,1224,612,704
1603223711-0006-G,G,1118,1296,600,685
1701151546-0001-R_T,R_T,7,65,1780,1826
1701151546-0001-R_T,R_T,146,187,1124,1165
1701151546-0001-R_T,R_T,310,374,1049,1109
1701151546-0001-R_T,R_T,551,610,1293,1338
1701151546-0001-R_T,R_T,610,656,1876,1925
1701151546-0001-R_T,R_T,1014,1050,1574,1610
1701151546-0001-R_T,R_T,1028,1070,583,627
1701151546-0001-R_T,R_T,1286,1376,1012,1121
1701151546-0001-R_T,R_T,1326,1361,1805,1844
1701151546-0001-R_T,R_T,1678,1709,168,198
1701151546-0001-R_T,R_T,1965,2015,1090,1138
1701151546-0001-R_T,R_T,2474,2522,1658,1689
1701151546-0001-R_T,R_T,2480,2556,304,369
1701151546-0002-R,R,33,70,565,604
1701151546-0002-R,R,41,91,1410,1460
1701151546-0002-R,R,59,95,1079,1116
1701151546-0002-R,R,88,130,1116,1158
1701151546-0002-R,R,366,407,1411,1453
1701151546-0002-R,R,536,585,574,625
1701151546-0002-R,R,635,681,651,700
1701151546-0002-R,R,720,766,105,148
1701151546-0002-R,R,856,906,1117,1165
1701151546-0002-R,R,1047,1084,292,335
1701151546-0002-R,R,1180,1228,164,205
1701151546-0002-R,R,1383,1432,774,819
1701151546-0002-R,R,1620,1687,1196,1259
1701151546-0002-R,R,1961,2005,976,1020
1701151546-0002-R,R,2020,2069,1397,1445
1701151546-0002-R,R,2375,2417,909,952
1701151546-0002-R,R,2392,2439,1882,1926
1701151546-0003-R,R,63,105,468,506
1701151546-0003-R,R,84,124,1076,1117
1701151546-0003-R,R,248,298,1475,1526
1701151546-0003-R,R,473,509,19,55
1701151546-0003-R,R,477,517,989,1024
1701151546-0003-R,R,667,714,935,993
1701151546-0003-R,R,1059,1089,856,885
1701151546-0003-R,R,1298,1344,7,45
1701151546-0003-R,R,1319,1363,969,1019
1701151546-0003-R,R,1721,1771,899,947
1701151546-0003-R,R,1807,1832,1841,1874
1701151546-0003-R,R,1975,2028,902,947
1701151546-0003-R,R,2120,2162,1719,1758
1701151546-0003-R,R,2408,2455,1773,1815
1701151546-0003-R,R,2453,2497,1790,1827
1701151546-0004-R_T,R_T,62,107,921,966
1701151546-0004-R_T,R_T,298,338,1001,1037
1701151546-0004-R_T,R_T,319,376,296,359
1701151546-0004-R_T,R_T,504,534,569,599
1701151546-0004-R_T,R_T,697,736,1663,1695
1701151546-0004-R_T,R_T,749,800,1450,1492
1701151546-0004-R_T,R_T,808,860,629,678
1701151546-0004-R_T,R_T,1011,1055,455,499
1701151546-0004-R_T,R_T,1074,1127,637,690
1701151546-0004-R_T,R_T,1186,1219,619,656
1701151546-0004-R_T,R_T,1369,1413,1495,1536
1701151546-0004-R_T,R_T,1371,1417,895,942
1701151546-0004-R_T,R_T,1407,1444,645,674
1701151546-0004-R_T,R_T,1437,1512,431,514
1701151546-0004-R_T,R_T,1450,1500,302,346
1701151546-0004-R_T,R_T,1495,1548,1752,1805
1701151546-0004-R_T,R_T,1523,1567,908,955
1701151546-0004-R_T,R_T,1527,1570,855,891
1701151546-0004-R_T,R_T,1578,1618,777,817
1701151546-0004-R_T,R_T,1654,1696,1309,1344
1701151546-0004-R_T,R_T,2164,2209,1828,1870
1701151546-0004-R_T,R_T,2278,2322,729,773
1701151546-0004-R_T,R_T,2325,2381,375,457
1701151546-0004-R_T,R_T,2492,2536,458,496
1701151546-0005-R,R,43,78,1825,1859
1701151546-0005-R,R,62,105,318,351
1701151546-0005-R,R,109,139,364,402
1701151546-0005-R,R,372,422,1472,1523
1701151546-0005-R,R,422,462,440,471
1701151546-0005-R,R,432,470,487,522
1701151546-0005-R,R,517,557,751,800
1701151546-0005-R,R,548,588,583,620
1701151546-0005-R,R,579,627,1253,1306
1701151546-0005-R,R,667,712,549,591
1701151546-0005-R,R,688,724,1599,1637
1701151546-0005-R,R,731,786,1856,1909
1701151546-0005-R,R,1123,1168,392,438
1701151546-0005-R,R,1136,1181,1551,1598
1701151546-0005-R,R,1248,1286,1586,1623
1701151546-0005-R,R,1259,1312,1176,1220
1701151546-0005-R,R,1290,1334,1592,1636
1701151546-0005-R,R,1386,1426,1713,1771
1701151546-0005-R,R,1417,1465,1759,1813
1701151546-0005-R,R,1591,1629,728,765
1701151546-0005-R,R,1712,1750,1838,1869
1701151546-0005-R,R,1925,1965,341,383
1701151546-0005-R,R,2303,2352,1095,1141
1701151546-0005-R,R,2312,2352,65,105
1701151546-0005-R,R,2505,2544,897,934
1701151546-0006-R_T,R_T,453,514,162,221
1701151546-0006-R_T,R_T,540,589,1737,1794
1701151546-0006-R_T,R_T,680,727,1653,1697
1701151546-0006-R_T,R_T,706,748,334,375
1701151546-0006-R_T,R_T,721,775,941,986
1701151546-0006-R_T,R_T,886,915,50,86
1701151546-0006-R_T,R_T,1007,1052,174,215
1701151546-0006-R_T,R_T,1196,1228,601,646
1701151546-0006-R_T,R_T,1370,1424,862,904
1701151546-0006-R_T,R_T,1391,1434,1496,1542
1701151546-0006-R_T,R_T,1416,1457,846,887
1701151546-0006-R_T,R_T,1534,1566,460,494
